"","FIPS","Employee_Capacity","Total_Employees_March_Snapshot","Total_Annual_Payroll","Year","Employee_Capacity_Change","Total_Employees_March_Snapshot_Change","Total_Annual_Payroll_Change"
"1","1001",73562,42826,1041471,2009,NA,NA,NA
"2","1003",361617,260811,7410108,2009,NA,NA,NA
"3","1005",52897,23467,651712,2009,NA,NA,NA
"4","1007",19827,10987,308782,2009,NA,NA,NA
"5","1009",47600,26368,728350,2009,NA,NA,NA
"6","1011",13200,3558,97469,2009,NA,NA,NA
"7","1013",39108,17567,453875,2009,NA,NA,NA
"8","1015",250465,172708,5021314,2009,NA,NA,NA
"9","1017",40814,23111,613784,2009,NA,NA,NA
"10","1019",23673,11480,298244,2009,NA,NA,NA
"11","1021",48428,29941,785149,2009,NA,NA,NA
"12","1023",20295,8905,294371,2009,NA,NA,NA
"13","1025",45554,25531,715384,2009,NA,NA,NA
"14","1027",22926,12911,344519,2009,NA,NA,NA
"15","1029",13524,5515,164312,2009,NA,NA,NA
"16","1031",83649,56077,1382543,2009,NA,NA,NA
"17","1033",129645,77582,2431489,2009,NA,NA,NA
"18","1035",17498,6925,194851,2009,NA,NA,NA
"19","1037",6540,2259,65409,2009,NA,NA,NA
"20","1039",69551,41849,1161973,2009,NA,NA,NA
"21","1041",22368,10271,283309,2009,NA,NA,NA
"22","1043",152024,102460,3006455,2009,NA,NA,NA
"23","1045",86250,40474,1351755,2009,NA,NA,NA
"24","1047",76371,44739,1233364,2009,NA,NA,NA
"25","1049",115325,77205,2188058,2009,NA,NA,NA
"26","1051",94236,58243,1515009,2009,NA,NA,NA
"27","1053",62033,37192,1056843,2009,NA,NA,NA
"28","1055",198806,138838,3841687,2009,NA,NA,NA
"29","1057",24611,12182,303472,2009,NA,NA,NA
"30","1059",57009,22409,607223,2009,NA,NA,NA
"31","1061",30531,12125,333910,2009,NA,NA,NA
"32","1063",10467,3272,97931,2009,NA,NA,NA
"33","1065",14442,5392,141906,2009,NA,NA,NA
"34","1067",18121,7604,242835,2009,NA,NA,NA
"35","1069",285347,203345,6633564,2009,NA,NA,NA
"36","1071",77015,35209,1059058,2009,NA,NA,NA
"37","1073",2189888,1784711,75444576,2009,NA,NA,NA
"38","1075",19500,8411,231638,2009,NA,NA,NA
"39","1077",172871,115701,3040490,2009,NA,NA,NA
"40","1079",33570,15780,451419,2009,NA,NA,NA
"41","1081",259429,161584,4236840,2009,NA,NA,NA
"42","1083",105212,61641,1786287,2009,NA,NA,NA
"43","1085",16154,4789,229385,2009,NA,NA,NA
"44","1087",42299,11322,298828,2009,NA,NA,NA
"45","1089",1037254,787667,36154787,2009,NA,NA,NA
"46","1091",38898,18456,573072,2009,NA,NA,NA
"47","1093",48404,26498,720120,2009,NA,NA,NA
"48","1095",194296,143058,4054148,2009,NA,NA,NA
"49","1097",1019834,773728,27775875,2009,NA,NA,NA
"50","1099",42986,21656,822494,2009,NA,NA,NA
"51","1101",704659,542919,19636418,2009,NA,NA,NA
"52","1103",293961,194025,6140169,2009,NA,NA,NA
"53","1105",9927,3782,97523,2009,NA,NA,NA
"54","1107",19647,10425,237459,2009,NA,NA,NA
"55","1109",72213,37724,1051987,2009,NA,NA,NA
"56","1111",23873,11603,296424,2009,NA,NA,NA
"57","1113",73532,42330,1101009,2009,NA,NA,NA
"58","1115",87982,54246,1503013,2009,NA,NA,NA
"59","1117",516391,347385,13601699,2009,NA,NA,NA
"60","1119",19131,8109,233999,2009,NA,NA,NA
"61","1121",142398,78694,2512525,2009,NA,NA,NA
"62","1123",77253,43484,1145790,2009,NA,NA,NA
"63","1125",470189,328608,10731159,2009,NA,NA,NA
"64","1127",107918,70410,2138842,2009,NA,NA,NA
"65","1129",20315,7675,373586,2009,NA,NA,NA
"66","1131",13040,5699,199012,2009,NA,NA,NA
"67","1133",42575,28487,754355,2009,NA,NA,NA
"68","2013",13206,472,10668,2009,NA,NA,NA
"69","2016",31854,22401,486255,2009,NA,NA,NA
"70","2020",985374,782944,42483988,2009,NA,NA,NA
"71","2050",20925,8475,296544,2009,NA,NA,NA
"72","2060",2460,495,117388,2009,NA,NA,NA
"73","2068",4236,797,110772,2009,NA,NA,NA
"74","2070",7836,1995,132788,2009,NA,NA,NA
"75","2090",178415,122085,5541912,2009,NA,NA,NA
"76","2100",4667,1657,64606,2009,NA,NA,NA
"77","2110",75669,47158,1976843,2009,NA,NA,NA
"78","2122",97599,65626,2823489,2009,NA,NA,NA
"79","2130",33318,16280,777526,2009,NA,NA,NA
"80","2150",28477,18031,677201,2009,NA,NA,NA
"81","2164",1212,138,51105,2009,NA,NA,NA
"82","2170",105698,66445,2550533,2009,NA,NA,NA
"83","2180",14076,6086,222627,2009,NA,NA,NA
"84","2185",18867,4340,342154,2009,NA,NA,NA
"85","2188",12363,2788,138807,2009,NA,NA,NA
"86","2201",5271,1165,63805,2009,NA,NA,NA
"87","2220",24220,11549,405636,2009,NA,NA,NA
"88","2232",4233,904,106580,2009,NA,NA,NA
"89","2240",6009,2698,101547,2009,NA,NA,NA
"90","2261",20007,7507,346596,2009,NA,NA,NA
"91","2270",3639,1980,33798,2009,NA,NA,NA
"92","2280",11240,4951,221313,2009,NA,NA,NA
"93","2282",861,118,10273,2009,NA,NA,NA
"94","2290",2961,1149,60057,2009,NA,NA,NA
"95","4001",46916,26441,706809,2009,NA,NA,NA
"96","4003",191230,141855,4548638,2009,NA,NA,NA
"97","4005",307171,220951,6607170,2009,NA,NA,NA
