FIPS,county_name,state_abbr,state_name,state_FIPS,county_FIPS
1001,Autauga County,AL,Alabama,1,1
1003,Baldwin County,AL,Alabama,1,3
1005,Barbour County,AL,Alabama,1,5
1007,Bibb County,AL,Alabama,1,7
1009,Blount County,AL,Alabama,1,9
1011,Bullock County,AL,Alabama,1,11
1013,Butler County,AL,Alabama,1,13
1015,Calhoun County,AL,Alabama,1,15
1017,Chambers County,AL,Alabama,1,17
1019,Cherokee County,AL,Alabama,1,19
1021,Chilton County,AL,Alabama,1,21
1023,Choctaw County,AL,Alabama,1,23
1025,Clarke County,AL,Alabama,1,25
1027,Clay County,AL,Alabama,1,27
1029,Cleburne County,AL,Alabama,1,29
1031,Coffee County,AL,Alabama,1,31
1033,Colbert County,AL,Alabama,1,33
1035,Conecuh County,AL,Alabama,1,35
1037,Coosa County,AL,Alabama,1,37
1039,Covington County,AL,Alabama,1,39
1041,Crenshaw County,AL,Alabama,1,41
1043,Cullman County,AL,Alabama,1,43
1045,Dale County,AL,Alabama,1,45
1047,Dallas County,AL,Alabama,1,47
1049,DeKalb County,AL,Alabama,1,49
1051,Elmore County,AL,Alabama,1,51
1053,Escambia County,AL,Alabama,1,53
1055,Etowah County,AL,Alabama,1,55
1057,Fayette County,AL,Alabama,1,57
1059,Franklin County,AL,Alabama,1,59
1061,Geneva County,AL,Alabama,1,61
1063,Greene County,AL,Alabama,1,63
1065,Hale County,AL,Alabama,1,65
1067,Henry County,AL,Alabama,1,67
1069,Houston County,AL,Alabama,1,69
1071,Jackson County,AL,Alabama,1,71
1073,Jefferson County,AL,Alabama,1,73
1075,Lamar County,AL,Alabama,1,75
1077,Lauderdale County,AL,Alabama,1,77
1079,Lawrence County,AL,Alabama,1,79
1081,Lee County,AL,Alabama,1,81
1083,Limestone County,AL,Alabama,1,83
1085,Lowndes County,AL,Alabama,1,85
1087,Macon County,AL,Alabama,1,87
1089,Madison County,AL,Alabama,1,89
1091,Marengo County,AL,Alabama,1,91
1093,Marion County,AL,Alabama,1,93
1095,Marshall County,AL,Alabama,1,95
1097,Mobile County,AL,Alabama,1,97
1099,Monroe County,AL,Alabama,1,99
1101,Montgomery County,AL,Alabama,1,101
1103,Morgan County,AL,Alabama,1,103
1105,Perry County,AL,Alabama,1,105
1107,Pickens County,AL,Alabama,1,107
1109,Pike County,AL,Alabama,1,109
1111,Randolph County,AL,Alabama,1,111
1113,Russell County,AL,Alabama,1,113
1115,St. Clair County,AL,Alabama,1,115
1117,Shelby County,AL,Alabama,1,117
1119,Sumter County,AL,Alabama,1,119
1121,Talladega County,AL,Alabama,1,121
1123,Tallapoosa County,AL,Alabama,1,123
1125,Tuscaloosa County,AL,Alabama,1,125
1127,Walker County,AL,Alabama,1,127
1129,Washington County,AL,Alabama,1,129
1131,Wilcox County,AL,Alabama,1,131
1133,Winston County,AL,Alabama,1,133
2013,Aleutians East Borough,AK,Alaska,2,13
2016,Aleutians West Census Area,AK,Alaska,2,16
2020,Anchorage Municipality,AK,Alaska,2,20
2050,Bethel Census Area,AK,Alaska,2,50
2060,Bristol Bay Borough,AK,Alaska,2,60
2068,Denali Borough,AK,Alaska,2,68
2070,Dillingham Census Area,AK,Alaska,2,70
2090,Fairbanks North Star Borough,AK,Alaska,2,90
2100,Haines Borough,AK,Alaska,2,100
2105,Hoonah-Angoon Census Area,AK,Alaska,2,105
2110,Juneau City and Borough,AK,Alaska,2,110
2122,Kenai Peninsula Borough,AK,Alaska,2,122
2130,Ketchikan Gateway Borough,AK,Alaska,2,130
2150,Kodiak Island Borough,AK,Alaska,2,150
2158,Kusilvak Census Area,AK,Alaska,2,158
2164,Lake and Peninsula Borough,AK,Alaska,2,164
2170,Matanuska-Susitna Borough,AK,Alaska,2,170
2180,Nome Census Area,AK,Alaska,2,180
2185,North Slope Borough,AK,Alaska,2,185
2188,Northwest Arctic Borough,AK,Alaska,2,188
2195,Petersburg Borough,AK,Alaska,2,195
2198,Prince of Wales-Hyder Census Area,AK,Alaska,2,198
2220,Sitka City and Borough,AK,Alaska,2,220
2230,Skagway Municipality,AK,Alaska,2,230
2240,Southeast Fairbanks Census Area,AK,Alaska,2,240
2261,Valdez-Cordova Census Area,AK,Alaska,2,261
2270,Wade Hampton Census Area,AK,Alaska,NA,NA
2275,Wrangell City and Borough,AK,Alaska,2,275
2282,Yakutat City and Borough,AK,Alaska,2,282
2290,Yukon-Koyukuk Census Area,AK,Alaska,2,290
4001,Apache County,AZ,Arizona,4,1
4003,Cochise County,AZ,Arizona,4,3
4005,Coconino County,AZ,Arizona,4,5
4007,Gila County,AZ,Arizona,4,7
4009,Graham County,AZ,Arizona,4,9
4011,Greenlee County,AZ,Arizona,4,11
4012,La Paz County,AZ,Arizona,4,12
4013,Maricopa County,AZ,Arizona,4,13
4015,Mohave County,AZ,Arizona,4,15
4017,Navajo County,AZ,Arizona,4,17
4019,Pima County,AZ,Arizona,4,19
4021,Pinal County,AZ,Arizona,4,21
4023,Santa Cruz County,AZ,Arizona,4,23
4025,Yavapai County,AZ,Arizona,4,25
4027,Yuma County,AZ,Arizona,4,27
5001,Arkansas County,AR,Arkansas,5,1
5003,Ashley County,AR,Arkansas,5,3
5005,Baxter County,AR,Arkansas,5,5
5007,Benton County,AR,Arkansas,5,7
5009,Boone County,AR,Arkansas,5,9
5011,Bradley County,AR,Arkansas,5,11
5013,Calhoun County,AR,Arkansas,5,13
5015,Carroll County,AR,Arkansas,5,15
5017,Chicot County,AR,Arkansas,5,17
5019,Clark County,AR,Arkansas,5,19
5021,Clay County,AR,Arkansas,5,21
5023,Cleburne County,AR,Arkansas,5,23
5025,Cleveland County,AR,Arkansas,5,25
5027,Columbia County,AR,Arkansas,5,27
5029,Conway County,AR,Arkansas,5,29
5031,Craighead County,AR,Arkansas,5,31
5033,Crawford County,AR,Arkansas,5,33
5035,Crittenden County,AR,Arkansas,5,35
5037,Cross County,AR,Arkansas,5,37
5039,Dallas County,AR,Arkansas,5,39
5041,Desha County,AR,Arkansas,5,41
5043,Drew County,AR,Arkansas,5,43
5045,Faulkner County,AR,Arkansas,5,45
5047,Franklin County,AR,Arkansas,5,47
5049,Fulton County,AR,Arkansas,5,49
5051,Garland County,AR,Arkansas,5,51
5053,Grant County,AR,Arkansas,5,53
5055,Greene County,AR,Arkansas,5,55
5057,Hempstead County,AR,Arkansas,5,57
5059,Hot Spring County,AR,Arkansas,5,59
5061,Howard County,AR,Arkansas,5,61
5063,Independence County,AR,Arkansas,5,63
5065,Izard County,AR,Arkansas,5,65
5067,Jackson County,AR,Arkansas,5,67
5069,Jefferson County,AR,Arkansas,5,69
5071,Johnson County,AR,Arkansas,5,71
5073,Lafayette County,AR,Arkansas,5,73
5075,Lawrence County,AR,Arkansas,5,75
5077,Lee County,AR,Arkansas,5,77
5079,Lincoln County,AR,Arkansas,5,79
5081,Little River County,AR,Arkansas,5,81
5083,Logan County,AR,Arkansas,5,83
5085,Lonoke County,AR,Arkansas,5,85
5087,Madison County,AR,Arkansas,5,87
5089,Marion County,AR,Arkansas,5,89
5091,Miller County,AR,Arkansas,5,91
5093,Mississippi County,AR,Arkansas,5,93
5095,Monroe County,AR,Arkansas,5,95
5097,Montgomery County,AR,Arkansas,5,97
5099,Nevada County,AR,Arkansas,5,99
5101,Newton County,AR,Arkansas,5,101
5103,Ouachita County,AR,Arkansas,5,103
5105,Perry County,AR,Arkansas,5,105
5107,Phillips County,AR,Arkansas,5,107
5109,Pike County,AR,Arkansas,5,109
5111,Poinsett County,AR,Arkansas,5,111
5113,Polk County,AR,Arkansas,5,113
5115,Pope County,AR,Arkansas,5,115
5117,Prairie County,AR,Arkansas,5,117
5119,Pulaski County,AR,Arkansas,5,119
5121,Randolph County,AR,Arkansas,5,121
5123,St. Francis County,AR,Arkansas,5,123
5125,Saline County,AR,Arkansas,5,125
5127,Scott County,AR,Arkansas,5,127
5129,Searcy County,AR,Arkansas,5,129
5131,Sebastian County,AR,Arkansas,5,131
5133,Sevier County,AR,Arkansas,5,133
5135,Sharp County,AR,Arkansas,5,135
5137,Stone County,AR,Arkansas,5,137
5139,Union County,AR,Arkansas,5,139
5141,Van Buren County,AR,Arkansas,5,141
5143,Washington County,AR,Arkansas,5,143
5145,White County,AR,Arkansas,5,145
5147,Woodruff County,AR,Arkansas,5,147
5149,Yell County,AR,Arkansas,5,149
6001,Alameda County,CA,California,6,1
6003,Alpine County,CA,California,6,3
6005,Amador County,CA,California,6,5
6007,Butte County,CA,California,6,7
6009,Calaveras County,CA,California,6,9
6011,Colusa County,CA,California,6,11
6013,Contra Costa County,CA,California,6,13
6015,Del Norte County,CA,California,6,15
6017,El Dorado County,CA,California,6,17
6019,Fresno County,CA,California,6,19
6021,Glenn County,CA,California,6,21
6023,Humboldt County,CA,California,6,23
6025,Imperial County,CA,California,6,25
6027,Inyo County,CA,California,6,27
6029,Kern County,CA,California,6,29
6031,Kings County,CA,California,6,31
6033,Lake County,CA,California,6,33
6035,Lassen County,CA,California,6,35
6037,Los Angeles County,CA,California,6,37
6039,Madera County,CA,California,6,39
6041,Marin County,CA,California,6,41
6043,Mariposa County,CA,California,6,43
6045,Mendocino County,CA,California,6,45
6047,Merced County,CA,California,6,47
6049,Modoc County,CA,California,6,49
6051,Mono County,CA,California,6,51
6053,Monterey County,CA,California,6,53
6055,Napa County,CA,California,6,55
6057,Nevada County,CA,California,6,57
6059,Orange County,CA,California,6,59
6061,Placer County,CA,California,6,61
6063,Plumas County,CA,California,6,63
6065,Riverside County,CA,California,6,65
6067,Sacramento County,CA,California,6,67
6069,San Benito County,CA,California,6,69
6071,San Bernardino County,CA,California,6,71
6073,San Diego County,CA,California,6,73
6075,San Francisco County,CA,California,6,75
6077,San Joaquin County,CA,California,6,77
6079,San Luis Obispo County,CA,California,6,79
6081,San Mateo County,CA,California,6,81
6083,Santa Barbara County,CA,California,6,83
6085,Santa Clara County,CA,California,6,85
6087,Santa Cruz County,CA,California,6,87
6089,Shasta County,CA,California,6,89
6091,Sierra County,CA,California,6,91
6093,Siskiyou County,CA,California,6,93
6095,Solano County,CA,California,6,95
6097,Sonoma County,CA,California,6,97
6099,Stanislaus County,CA,California,6,99
6101,Sutter County,CA,California,6,101
6103,Tehama County,CA,California,6,103
6105,Trinity County,CA,California,6,105
6107,Tulare County,CA,California,6,107
6109,Tuolumne County,CA,California,6,109
6111,Ventura County,CA,California,6,111
6113,Yolo County,CA,California,6,113
6115,Yuba County,CA,California,6,115
8001,Adams County,CO,Colorado,8,1
8003,Alamosa County,CO,Colorado,8,3
8005,Arapahoe County,CO,Colorado,8,5
8007,Archuleta County,CO,Colorado,8,7
8009,Baca County,CO,Colorado,8,9
8011,Bent County,CO,Colorado,8,11
8013,Boulder County,CO,Colorado,8,13
8014,Broomfield County,CO,Colorado,8,14
8015,Chaffee County,CO,Colorado,8,15
8017,Cheyenne County,CO,Colorado,8,17
8019,Clear Creek County,CO,Colorado,8,19
8021,Conejos County,CO,Colorado,8,21
8023,Costilla County,CO,Colorado,8,23
8025,Crowley County,CO,Colorado,8,25
8027,Custer County,CO,Colorado,8,27
8029,Delta County,CO,Colorado,8,29
8031,Denver County,CO,Colorado,8,31
8033,Dolores County,CO,Colorado,8,33
8035,Douglas County,CO,Colorado,8,35
8037,Eagle County,CO,Colorado,8,37
8039,Elbert County,CO,Colorado,8,39
8041,El Paso County,CO,Colorado,8,41
8043,Fremont County,CO,Colorado,8,43
8045,Garfield County,CO,Colorado,8,45
8047,Gilpin County,CO,Colorado,8,47
8049,Grand County,CO,Colorado,8,49
8051,Gunnison County,CO,Colorado,8,51
8053,Hinsdale County,CO,Colorado,8,53
8055,Huerfano County,CO,Colorado,8,55
8057,Jackson County,CO,Colorado,8,57
8059,Jefferson County,CO,Colorado,8,59
8061,Kiowa County,CO,Colorado,8,61
8063,Kit Carson County,CO,Colorado,8,63
8065,Lake County,CO,Colorado,8,65
8067,La Plata County,CO,Colorado,8,67
8069,Larimer County,CO,Colorado,8,69
8071,Las Animas County,CO,Colorado,8,71
8073,Lincoln County,CO,Colorado,8,73
8075,Logan County,CO,Colorado,8,75
8077,Mesa County,CO,Colorado,8,77
8079,Mineral County,CO,Colorado,8,79
8081,Moffat County,CO,Colorado,8,81
8083,Montezuma County,CO,Colorado,8,83
8085,Montrose County,CO,Colorado,8,85
8087,Morgan County,CO,Colorado,8,87
8089,Otero County,CO,Colorado,8,89
8091,Ouray County,CO,Colorado,8,91
8093,Park County,CO,Colorado,8,93
8095,Phillips County,CO,Colorado,8,95
8097,Pitkin County,CO,Colorado,8,97
8099,Prowers County,CO,Colorado,8,99
8101,Pueblo County,CO,Colorado,8,101
8103,Rio Blanco County,CO,Colorado,8,103
8105,Rio Grande County,CO,Colorado,8,105
8107,Routt County,CO,Colorado,8,107
8109,Saguache County,CO,Colorado,8,109
8111,San Juan County,CO,Colorado,8,111
8113,San Miguel County,CO,Colorado,8,113
8115,Sedgwick County,CO,Colorado,8,115
8117,Summit County,CO,Colorado,8,117
8119,Teller County,CO,Colorado,8,119
8121,Washington County,CO,Colorado,8,121
8123,Weld County,CO,Colorado,8,123
