"","FIPS","State","Year","Fentanyl_Total"
"1",1,"Alabama",2010,20
"2",2,"Alaska",2010,2
"3",4,"Arizona",2010,0
"4",5,"Arkansas",2010,14
"5",6,"California",2010,18
"6",8,"Colorado",2010,13
"7",9,"Connecticut",2010,2
"8",10,"Delaware",2010,0
"9",11,"District of
Columbia",2010,1
"10",12,"Florida",2010,12
"11",13,"Georgia",2010,1
"12",15,"Hawaii",2010,0
"13",16,"Idaho",2010,5
"14",17,"Illinois",2010,35
"15",18,"Indiana",2010,14
"16",19,"Iowa",2010,6
"17",20,"Kansas",2010,10
"18",21,"Kentucky",2010,17
"19",22,"Louisiana",2010,13
"20",23,"Maine",2010,1
"21",24,"Maryland",2010,13
"22",25,"Massachusetts",2010,22
"23",26,"Michigan",2010,27
"24",27,"Minnesota",2010,6
"25",28,"Mississippi",2010,15
"26",29,"Missouri",2010,52
"27",30,"Montana",2010,5
"28",31,"Nebraska",2010,10
"29",32,"Nevada",2010,12
"30",33,"New
Hampshire",2010,1
"31",34,"New Jersey",2010,8
"32",35,"New Mexico",2010,1
"33",36,"New York",2010,36
"34",37,"North
Carolina",2010,18
"35",38,"North Dakota",2010,1
"36",39,"Ohio",2010,56
"37",40,"Oklahoma",2010,7
"38",41,"Oregon",2010,9
"39",42,"Pennsylvania",2010,57
"40",44,"Rhode Island",2010,0
"41",45,"South
Carolina",2010,0
"42",46,"South Dakota",2010,2
"43",47,"Tennessee",2010,8
"44",48,"Texas",2010,12
"45",49,"Utah",2010,20
"46",50,"Vermont",2010,0
"47",51,"Virginia",2010,42
"48",53,"Washington",2010,18
"49",54,"West Virginia",2010,8
"50",55,"Wisconsin",2010,22
"51",56,"Wyoming",2010,3
"52",1,"Alabama",2011,16
"53",2,"Alaska",2011,1
"54",4,"Arizona",2011,2
"55",5,"Arkansas",2011,13
"56",6,"California",2011,14
"57",8,"Colorado",2011,8
"58",9,"Connecticut",2011,0
"59",10,"Delaware",2011,0
"60",11,"District of
Columbia",2011,0
"61",12,"Florida",2011,8
"62",13,"Georgia",2011,0
"63",15,"Hawaii",2011,0
"64",16,"Idaho",2011,5
"65",17,"Illinois",2011,25
"66",18,"Indiana",2011,18
"67",19,"Iowa",2011,5
"68",20,"Kansas",2011,19
"69",21,"Kentucky",2011,31
"70",22,"Louisiana",2011,8
"71",23,"Maine",2011,1
"72",24,"Maryland",2011,10
"73",25,"Massachusetts",2011,17
"74",26,"Michigan",2011,32
"75",27,"Minnesota",2011,4
