County,State,State/County FIPS Code,Rate_per_100,Year
AUTAUGA,AL,1001,106.6,2017
BALDWIN,AL,1003,106.7,2017
BARBOUR,AL,1005,90.7,2017
BIBB,AL,1007,80.6,2017
BLOUNT,AL,1009,48.9,2017
BULLOCK,AL,1011,19.9,2017
BUTLER,AL,1013,118.6,2017
CALHOUN,AL,1015,138.2,2017
CHAMBERS,AL,1017,127,2017
CHEROKEE,AL,1019,128.3,2017
CHILTON,AL,1021,107,2017
CHOCTAW,AL,1023,92.2,2017
CLARKE,AL,1025,154.5,2017
CLAY,AL,1027,112.2,2017
CLEBURNE,AL,1029,48.1,2017
COFFEE,AL,1031,118.7,2017
COLBERT,AL,1033,186,2017
CONECUH,AL,1035,84.9,2017
COOSA,AL,1037,24.3,2017
COVINGTON,AL,1039,143.1,2017
CRENSHAW,AL,1041,81.1,2017
CULLMAN,AL,1043,141.1,2017
DALE,AL,1045,69.6,2017
DALLAS,AL,1047,102.6,2017
DE KALB,AL,1049,103.2,2017
ELMORE,AL,1051,109.4,2017
ESCAMBIA,AL,1053,154.9,2017
ETOWAH,AL,1055,130.5,2017
FAYETTE,AL,1057,114.3,2017
FRANKLIN,AL,1059,181.3,2017
GENEVA,AL,1061,42.1,2017
GREENE,AL,1063,53.9,2017
HALE,AL,1065,98.7,2017
HENRY,AL,1067,26.7,2017
HOUSTON,AL,1069,136.2,2017
JACKSON,AL,1071,138.6,2017
JEFFERSON,AL,1073,104.2,2017
LAMAR,AL,1075,75.4,2017
LAUDERDALE,AL,1077,104.7,2017
LAWRENCE,AL,1079,98.8,2017
LEE,AL,1081,58.5,2017
LIMESTONE,AL,1083,68.3,2017
LOWNDES,AL,1085,0.4,2017
MACON,AL,1087,44.6,2017
MADISON,AL,1089,100.5,2017
MARENGO,AL,1091,127.2,2017
MARION,AL,1093,162.1,2017
MARSHALL,AL,1095,163.9,2017
MOBILE,AL,1097,118.4,2017
MONROE,AL,1099,123.4,2017
MONTGOMERY,AL,1101,81.2,2017
MORGAN,AL,1103,117.7,2017
PERRY,AL,1105,3.6,2017
PICKENS,AL,1107,70.1,2017
PIKE,AL,1109,98.9,2017
RANDOLPH,AL,1111,95,2017
RUSSELL,AL,1113,103.4,2017
SAINT CLAIR,AL,1115,105,2017
SHELBY,AL,1117,89.6,2017
SUMTER,AL,1119,36.4,2017
TALLADEGA,AL,1121,123.6,2017
TALLAPOOSA,AL,1123,98.3,2017
TUSCALOOSA,AL,1125,99.9,2017
WALKER,AL,1127,216.1,2017
WASHINGTON,AL,1129,52.4,2017
WILCOX,AL,1131,52.6,2017
WINSTON,AL,1133,155.1,2017
ANCHORAGE,AK,2020,59.4,2017
FAIRBANKS NORTH STAR,AK,2090,42.9,2017
JUNEAU,AK,2110,65.7,2017
KENAI PENINSULA,AK,2122,83,2017
KETCHIKAN GATEWAY,AK,2130,77.4,2017
KODIAK ISLAND,AK,2150,28.9,2017
MATANUSKA SUSITNA,AK,2170,69.3,2017
PETERSBURG,AK,2195,63,2017
PRINCE OF WALES HYDER,AK,2198,38.9,2017
SITKA,AK,2220,7.2,2017
VALDEZ CORDOVA,AK,2261,38.2,2017
WRANGELL,AK,2275,0.2,2017
APACHE,AZ,4001,18.6,2017
COCHISE,AZ,4003,69,2017
COCONINO,AZ,4005,42.4,2017
GILA,AZ,4007,88,2017
GRAHAM,AZ,4009,74.6,2017
GREENLEE,AZ,4011,0,2017
LA PAZ,AZ,4012,67,2017
MARICOPA,AZ,4013,59.2,2017
MOHAVE,AZ,4015,111.8,2017
NAVAJO,AZ,4017,66,2017
PIMA,AZ,4019,65.4,2017
PINAL,AZ,4021,50.1,2017
SANTA CRUZ,AZ,4023,21.9,2017
YAVAPAI,AZ,4025,87.2,2017
YUMA,AZ,4027,48.5,2017
ARKANSAS,AR,5001,116,2017
ASHLEY,AR,5003,108.1,2017
BAXTER,AR,5005,133.4,2017
BENTON,AR,5007,79.4,2017
BOONE,AR,5009,141.2,2017
BRADLEY,AR,5011,109.6,2017
CALHOUN,AR,5013,73.7,2017
CARROLL,AR,5015,78.4,2017
CHICOT,AR,5017,80,2017
CLARK,AR,5019,95.3,2017
CLAY,AR,5021,111.4,2017
CLEBURNE,AR,5023,112.2,2017
CLEVELAND,AR,5025,0.7,2017
COLUMBIA,AR,5027,101.5,2017
CONWAY,AR,5029,122.1,2017
CRAIGHEAD,AR,5031,141.5,2017
CRAWFORD,AR,5033,141.4,2017
CRITTENDEN,AR,5035,105.5,2017
CROSS,AR,5037,101.9,2017
DALLAS,AR,5039,77.6,2017
DESHA,AR,5041,129.4,2017
DREW,AR,5043,120.8,2017
FAULKNER,AR,5045,89.9,2017
FRANKLIN,AR,5047,19.3,2017
FULTON,AR,5049,109.2,2017
GARLAND,AR,5051,157.8,2017
GRANT,AR,5053,74.1,2017
GREENE,AR,5055,166.8,2017
HEMPSTEAD,AR,5057,116.4,2017
HOT SPRING,AR,5059,95.5,2017
HOWARD,AR,5061,138.7,2017
INDEPENDENCE,AR,5063,150.9,2017
IZARD,AR,5065,95.8,2017
JACKSON,AR,5067,136.4,2017
JEFFERSON,AR,5069,103.8,2017
JOHNSON,AR,5071,101.2,2017
LAFAYETTE,AR,5073,111,2017
LAWRENCE,AR,5075,35.8,2017
LEE,AR,5077,67.5,2017
LINCOLN,AR,5079,59.6,2017
LITTLE RIVER,AR,5081,158.4,2017
LOGAN,AR,5083,37.9,2017
LONOKE,AR,5085,95.4,2017
MADISON,AR,5087,81.1,2017
MARION,AR,5089,78.1,2017
MILLER,AR,5091,102.5,2017
MISSISSIPPI,AR,5093,138.4,2017
MONROE,AR,5095,85.6,2017
MONTGOMERY,AR,5097,82,2017
NEWTON,AR,5101,0.9,2017
OUACHITA,AR,5103,138.7,2017
PERRY,AR,5105,27.5,2017
PHILLIPS,AR,5107,156.5,2017
PIKE,AR,5109,87.5,2017
POINSETT,AR,5111,112.5,2017
POLK,AR,5113,105.8,2017
POPE,AR,5115,105.8,2017
PRAIRIE,AR,5117,72.1,2017
PULASKI,AR,5119,98.3,2017
RANDOLPH,AR,5121,106,2017
SAINT FRANCIS,AR,5123,89.2,2017
SALINE,AR,5125,92.7,2017
SCOTT,AR,5127,116.1,2017
SEARCY,AR,5129,68.6,2017
SEBASTIAN,AR,5131,153.1,2017
SEVIER,AR,5133,57.1,2017
SHARP,AR,5135,124.4,2017
STONE,AR,5137,154.1,2017
UNION,AR,5139,120,2017
VAN BUREN,AR,5141,90.6,2017
WASHINGTON,AR,5143,91.9,2017
WHITE,AR,5145,116.9,2017
WOODRUFF,AR,5147,2.7,2017
YELL,AR,5149,57.4,2017
ALAMEDA,CA,6001,26.4,2017
AMADOR,CA,6005,99.4,2017
BUTTE,CA,6007,106.7,2017
CALAVERAS,CA,6009,70,2017
COLUSA,CA,6011,34.8,2017
CONTRA COSTA,CA,6013,36.2,2017
DEL NORTE,CA,6015,119.3,2017
EL DORADO,CA,6017,55.7,2017
FRESNO,CA,6019,52.8,2017
GLENN,CA,6021,75.4,2017
HUMBOLDT,CA,6023,77.8,2017
IMPERIAL,CA,6025,47.6,2017
INYO,CA,6027,50.3,2017
KERN,CA,6029,54.9,2017
KINGS,CA,6031,59.1,2017
LAKE,CA,6033,90,2017
LASSEN,CA,6035,67.2,2017
LOS ANGELES,CA,6037,29.8,2017
MADERA,CA,6039,42.6,2017
MARIN,CA,6041,32.4,2017
MARIPOSA,CA,6043,55.9,2017
MENDOCINO,CA,6045,89.7,2017
MERCED,CA,6047,56.6,2017
MODOC,CA,6049,82.3,2017
MONO,CA,6051,44.6,2017
MONTEREY,CA,6053,43.9,2017
NAPA,CA,6055,35.1,2017
NEVADA,CA,6057,70.7,2017
ORANGE,CA,6059,37,2017
PLACER,CA,6061,56.5,2017
PLUMAS,CA,6063,63.5,2017
RIVERSIDE,CA,6065,44.8,2017
SACRAMENTO,CA,6067,44.3,2017
SAN BENITO,CA,6069,39.7,2017
SAN BERNARDINO,CA,6071,46.7,2017
SAN DIEGO,CA,6073,34.3,2017
SAN FRANCISCO,CA,6075,27.1,2017
SAN JOAQUIN,CA,6077,47.8,2017
SAN LUIS OBISPO,CA,6079,63.4,2017
SAN MATEO,CA,6081,27,2017
SANTA BARBARA,CA,6083,48.7,2017
SANTA CLARA,CA,6085,20.7,2017
SANTA CRUZ,CA,6087,49.1,2017
SHASTA,CA,6089,102.1,2017
SIERRA,CA,6091,12.4,2017
SISKIYOU,CA,6093,97.5,2017
SOLANO,CA,6095,37.7,2017
SONOMA,CA,6097,46,2017
STANISLAUS,CA,6099,76,2017
SUTTER,CA,6101,95.3,2017
