"","Notes","County","County.Code","Year","Year.Code","Deaths","Population","Crude.Rate","FIPS","overdose_death_rate","overdose_gravity_add"
"1",NA,"Autauga County, AL",1001,2010,2010,4.62780964089042,54571,"Suppressed",1001,8.48034604623412,0.250960935845156
"2",NA,"Autauga County, AL",1001,2011,2011,4.31207290774916,55267,"Suppressed",1001,7.80225615240407,0.208697423007331
"3",NA,"Autauga County, AL",1001,2012,2012,4.37789498782274,55514,"Suppressed",1001,7.88610978820251,0.21115379232406
"4",NA,"Autauga County, AL",1001,2013,2013,3.7189551980165,55246,"Suppressed",1001,6.73162798757648,0.19982621120507
"5",NA,"Autauga County, AL",1001,2014,2014,4.92078243788069,55395,"Suppressed",1001,8.88308049080366,0.241678423083608
"6",NA,"Autauga County, AL",1001,2015,2015,4.95622530070554,55347,"Suppressed",1001,8.95482194284341,0.24021561545625
"7",NA,"Autauga County, AL",1001,2016,2016,4.69658391297241,55416,"Suppressed",1001,8.47514059652882,0.240457071667207
"8",NA,"Autauga County, AL",1001,2017,2017,5.34930027352666,55504,"Suppressed",1001,9.63768426334437,0.26050888142516
"9",NA,"Autauga County, AL",1001,2018,2018,5.66065008284961,55601,"Suppressed",1001,10.1808422201932,0.260214532415429
"10",NA,"Autauga County, AL",1001,2019,2019,5.20841858917587,55869,"Suppressed",1001,9.32255560181115,0.257187202144836
"11",NA,"Autauga County, AL",1001,2020,2020,5.2904593639576,56145,"Suppressed",1001,9.42285041224971,0.305199946383951
"12",NA,"Baldwin County, AL",1003,2010,2010,26,182265,"14.3",1003,14.2649439003649,0.138528743677681
"13",NA,"Baldwin County, AL",1003,2011,2011,24,186717,"12.9",1003,12.8536769549639,0.136037252403839
"14",NA,"Baldwin County, AL",1003,2012,2012,34,190790,"17.8",1003,17.8206404947848,0.125168902457405
"15",NA,"Baldwin County, AL",1003,2013,2013,22,195540,"11.3",1003,11.2508949575534,0.136077781480704
"16",NA,"Baldwin County, AL",1003,2014,2014,38,200111,"19.0",1003,18.9894608492287,0.14430483385232
"17",NA,"Baldwin County, AL",1003,2015,2015,43,203709,"21.1",1003,21.1085420869966,0.15936091616045
"18",NA,"Baldwin County, AL",1003,2016,2016,32,208563,"15.3",1003,15.3430857822337,0.149449631849224
"19",NA,"Baldwin County, AL",1003,2017,2017,27,212628,"12.7",1003,12.6982335346238,0.169664773081965
"20",NA,"Baldwin County, AL",1003,2018,2018,28,218022,"12.8",1003,12.8427406408528,0.186436983537155
"21",NA,"Baldwin County, AL",1003,2019,2019,27,223234,"12.1",1003,12.0949317756256,0.204752701798801
"22",NA,"Baldwin County, AL",1003,2020,2020,63,229287,"27.5",1003,27.476481440291,0.287235168949657
"23",NA,"Barbour County, AL",1005,2010,2010,2.3284486139145,27457,"Suppressed",1005,8.48034604623411,0.267195846689946
"24",NA,"Barbour County, AL",1005,2011,2011,2.11589384597046,27119,"Suppressed",1005,7.80225615240407,0.267859414238719
"25",NA,"Barbour County, AL",1005,2012,2012,2.14510072348896,27201,"Suppressed",1005,7.88610978820249,0.264879405200178
"26",NA,"Barbour County, AL",1005,2013,2013,1.82265559391621,27076,"Suppressed",1005,6.73162798757649,0.269602251826393
"27",NA,"Barbour County, AL",1005,2014,2014,2.38839385156238,26887,"Suppressed",1005,8.88308049080366,0.289204153225326
"28",NA,"Barbour County, AL",1005,2015,2015,2.37204278443979,26489,"Suppressed",1005,8.95482194284341,0.298685540409625
"29",NA,"Barbour County, AL",1005,2016,2016,2.20057025588871,25965,"Suppressed",1005,8.47514059652883,0.303920012444071
"30",NA,"Barbour County, AL",1005,2017,2017,2.43544281334712,25270,"Suppressed",1005,9.63768426334436,0.340739819500421
"31",NA,"Barbour County, AL",1005,2018,2018,2.53309535280626,24881,"Suppressed",1005,10.1808422201932,0.327085658314242
"32",NA,"Barbour County, AL",1005,2019,2019,2.3013660758631,24686,"Suppressed",1005,9.32255560181115,0.350263643965191
"33",NA,"Barbour County, AL",1005,2020,2020,2.31698468786808,24589,"Suppressed",1005,9.4228504122497,0.421987774855557
"34",NA,"Bibb County, AL",1007,2010,2010,1.94327129649455,22915,"Suppressed",1007,8.48034604623413,0.255258244879225
"35",NA,"Bibb County, AL",1007,2011,2011,1.77626163565631,22766,"Suppressed",1007,7.80225615240407,0.227313798848262
"36",NA,"Bibb County, AL",1007,2012,2012,1.78202422884012,22597,"Suppressed",1007,7.88610978820251,0.23172534374469
"37",NA,"Bibb County, AL",1007,2013,2013,1.51542409256322,22512,"Suppressed",1007,6.73162798757649,0.228407605942832
"38",NA,"Bibb County, AL",1007,2014,2014,1.99922609526027,22506,"Suppressed",1007,8.88308049080365,0.261351864747328
"39",NA,"Bibb County, AL",1007,2015,2015,2.02226743935232,22583,"Suppressed",1007,8.95482194284338,0.26141662106086
"40",NA,"Bibb County, AL",1007,2016,2016,1.91902608527202,22643,"Suppressed",1007,8.47514059652882,0.262328146521376
"41",NA,"Bibb County, AL",1007,2017,2017,2.1846702688149,22668,"Suppressed",1007,9.63768426334436,0.277587906527976
"42",NA,"Bibb County, AL",1007,2018,2018,2.28050865732327,22400,"Suppressed",1007,10.1808422201932,0.273388109719366
"43",NA,"Bibb County, AL",1007,2019,2019,2.08769310146959,22394,"Suppressed",1007,9.32255560181116,0.271991683971383
"44",NA,"Bibb County, AL",1007,2020,2020,2.08584216725559,22136,"Suppressed",1007,9.42285041224968,0.338576456743157
"45",NA,"Blount County, AL",1009,2010,2010,10,57322,"Unreliable",1009,17.4453089564216,0.34129248769963
"46",NA,"Blount County, AL",1009,2011,2011,4.5001072810221,57677,"Suppressed",1009,7.80225615240408,0.357210579878191
"47",NA,"Blount County, AL",1009,2012,2012,17,57826,"Unreliable",1009,29.398540448933,0.340407667621568
"48",NA,"Blount County, AL",1009,2013,2013,13,57872,"Unreliable",1009,22.4633674315731,0.398130811557951
"49",NA,"Blount County, AL",1009,2014,2014,12,57719,"Unreliable",1009,20.7903809837315,0.473960823993796
"50",NA,"Blount County, AL",1009,2015,2015,11,57673,"Unreliable",1009,19.0730497806599,0.43420577782913
"51",NA,"Blount County, AL",1009,2016,2016,14,57704,"Unreliable",1009,24.2617496187439,0.436521386491929
"52",NA,"Blount County, AL",1009,2017,2017,18,58013,"Unreliable",1009,31.0275283126196,0.477963674550627
"53",NA,"Blount County, AL",1009,2018,2018,10,57840,"Unreliable",1009,17.2890733056708,0.464685437115768
"54",NA,"Blount County, AL",1009,2019,2019,10,57826,"Unreliable",1009,17.2932590876077,0.44737526409123
"55",NA,"Blount County, AL",1009,2020,2020,11,57879,"Unreliable",1009,19.0051659496536,0.568030208138763
"56",NA,"Bullock County, AL",1011,2010,2010,0.925544967485992,10914,"Suppressed",1011,8.48034604623412,0.253466029846628
"57",NA,"Bullock County, AL",1011,2011,2011,0.822513843586437,10542,"Suppressed",1011,7.80225615240407,0.243838064389781
"58",NA,"Bullock County, AL",1011,2012,2012,0.82599113921633,10474,"Suppressed",1011,7.8861097882025,0.244623494723186
"59",NA,"Bullock County, AL",1011,2013,2013,0.716177901598262,10639,"Suppressed",1011,6.73162798757648,0.235867219870959
"60",NA,"Bullock County, AL",1011,2014,2014,0.956174784030105,10764,"Suppressed",1011,8.88308049080365,0.27136560488135
"61",NA,"Bullock County, AL",1011,2015,2015,0.95780775500653,10696,"Suppressed",1011,8.9548219428434,0.276642760685519
"62",NA,"Bullock County, AL",1011,2016,2016,0.878194068612317,10362,"Suppressed",1011,8.47514059652883,0.279603873278312
"63",NA,"Bullock County, AL",1011,2017,2017,0.993548870708171,10309,"Suppressed",1011,9.63768426334437,0.310281340520689
"64",NA,"Bullock County, AL",1011,2018,2018,1.03213378428318,10138,"Suppressed",1011,10.1808422201931,0.305371227693636
"65",NA,"Bullock County, AL",1011,2019,2019,0.941671341338944,10101,"Suppressed",1011,9.32255560181115,0.316399012430876
"66",NA,"Bullock County, AL",1011,2020,2020,0.940023557126031,9976,"Suppressed",1011,9.42285041224971,0.376749723010909
"67",NA,"Butler County, AL",1013,2010,2010,1.77637808630466,20947,"Suppressed",1013,8.48034604623412,0.193902863973173
"68",NA,"Butler County, AL",1013,2011,2011,1.61116589547144,20650,"Suppressed",1013,7.80225615240407,0.184781061075273
"69",NA,"Butler County, AL",1013,2012,2012,1.60143231469028,20307,"Suppressed",1013,7.88610978820249,0.175814844286666
"70",NA,"Butler County, AL",1013,2013,2013,1.36416441168237,20265,"Suppressed",1013,6.73162798757646,0.172904109461307
"71",NA,"Butler County, AL",1013,2014,2014,1.80291001641351,20296,"Suppressed",1013,8.88308049080366,0.203306131387269
"72",NA,"Butler County, AL",1013,2015,2015,1.80475481436066,20154,"Suppressed",1013,8.95482194284341,0.20315219081065
"73",NA,"Butler County, AL",1013,2016,2016,1.69485861649383,19998,"Suppressed",1013,8.4751405965288,0.198596058898892
"74",NA,"Butler County, AL",1013,2017,2017,1.91067090520802,19825,"Suppressed",1013,9.63768426334436,0.227075955659392
"75",NA,"Butler County, AL",1013,2018,2018,2.00358974893402,19680,"Suppressed",1013,10.1808422201932,0.229340813898542
"76",NA,"Butler County, AL",1013,2019,2019,1.81305061344023,19448,"Suppressed",1013,9.32255560181114,0.230153319544688
"77",NA,"Butler County, AL",1013,2020,2020,1.83783274440518,19504,"Suppressed",1013,9.42285041224969,0.266485302174386
"78",NA,"Calhoun County, AL",1015,2010,2010,21,118572,"17.7",1015,17.7107580204433,0.409805794798227
"79",NA,"Calhoun County, AL",1015,2011,2011,14,117797,"Unreliable",1015,11.8848527551635,0.378309792830638
"80",NA,"Calhoun County, AL",1015,2012,2012,9,117296,"Suppressed",1015,7.67289592142955,0.366747221967951
"81",NA,"Calhoun County, AL",1015,2013,2013,7.85823324757728,116736,"Suppressed",1015,6.73162798757648,0.403981990803426
"82",NA,"Calhoun County, AL",1015,2014,2014,19,115916,"Unreliable",1015,16.3911798198696,0.432190031030967
"83",NA,"Calhoun County, AL",1015,2015,2015,20,115620,"17.3",1015,17.2980453208787,0.453290320551442
"84",NA,"Calhoun County, AL",1015,2016,2016,15,114611,"Unreliable",1015,13.0877489944246,0.464665244490515
"85",NA,"Calhoun County, AL",1015,2017,2017,31,114728,"27.0",1015,27.020430932292,0.51998317428517
"86",NA,"Calhoun County, AL",1015,2018,2018,17,114277,"Unreliable",1015,14.8761343052408,0.489020075228801
"87",NA,"Calhoun County, AL",1015,2019,2019,20,113605,"17.6",1015,17.6048589410677,0.466148980212721
"88",NA,"Calhoun County, AL",1015,2020,2020,29,113469,"25.6",1015,25.5576412940979,0.610965790362808
"89",NA,"Chambers County, AL",1017,2010,2010,2.90155039971901,34215,"Suppressed",1017,8.48034604623414,0.332519257461509
"90",NA,"Chambers County, AL",1017,2011,2011,2.64800771556442,33939,"Suppressed",1017,7.80225615240408,0.343495478658207
"91",NA,"Chambers County, AL",1017,2012,2012,2.6863244382533,34064,"Suppressed",1017,7.8861097882025,0.32255077286243
"92",NA,"Chambers County, AL",1017,2013,2013,2.29965875311588,34162,"Suppressed",1017,6.73162798757649,0.324359096540532
"93",NA,"Chambers County, AL",1017,2014,2014,3.02699850804625,34076,"Suppressed",1017,8.88308049080364,0.361682683948371
"94",NA,"Chambers County, AL",1017,2015,2015,3.05565389155645,34123,"Suppressed",1017,8.95482194284339,0.385983762385393
"95",NA,"Chambers County, AL",1017,2016,2016,2.86824183208325,33843,"Suppressed",1017,8.47514059652882,0.401903706930209
"96",NA,"Chambers County, AL",1017,2017,2017,3.24915249570129,33713,"Suppressed",1017,9.63768426334438,0.424115288295096
"97",NA,"Chambers County, AL",1017,2018,2018,3.42229011231794,33615,"Suppressed",1017,10.1808422201932,0.381995077355614
"98",NA,"Chambers County, AL",1017,2019,2019,3.10012263982628,33254,"Suppressed",1017,9.32255560181115,0.400648434182939
"99",NA,"Chambers County, AL",1017,2020,2020,3.09681978798587,32865,"Suppressed",1017,9.42285041224972,0.525060088983869
