"","Notes","County","County.Code","Year","Year.Code","Deaths","Population","Crude.Rate"
"1",NA,"Autauga County, AL",1001,2010,2010,4.62780964089042,54571,"Suppressed"
"2",NA,"Autauga County, AL",1001,2011,2011,4.31207290774916,55267,"Suppressed"
"3",NA,"Autauga County, AL",1001,2012,2012,4.37789498782274,55514,"Suppressed"
"4",NA,"Autauga County, AL",1001,2013,2013,3.7189551980165,55246,"Suppressed"
"5",NA,"Autauga County, AL",1001,2014,2014,4.92078243788069,55395,"Suppressed"
"6",NA,"Autauga County, AL",1001,2015,2015,4.95622530070554,55347,"Suppressed"
"7",NA,"Autauga County, AL",1001,2016,2016,4.69658391297241,55416,"Suppressed"
"8",NA,"Autauga County, AL",1001,2017,2017,5.34930027352666,55504,"Suppressed"
"9",NA,"Autauga County, AL",1001,2018,2018,5.66065008284961,55601,"Suppressed"
"10",NA,"Autauga County, AL",1001,2019,2019,5.20841858917587,55869,"Suppressed"
"11",NA,"Autauga County, AL",1001,2020,2020,5.2904593639576,56145,"Suppressed"
"12",NA,"Baldwin County, AL",1003,2010,2010,26,182265,"14.3"
"13",NA,"Baldwin County, AL",1003,2011,2011,24,186717,"12.9"
"14",NA,"Baldwin County, AL",1003,2012,2012,34,190790,"17.8"
"15",NA,"Baldwin County, AL",1003,2013,2013,22,195540,"11.3"
"16",NA,"Baldwin County, AL",1003,2014,2014,38,200111,"19.0"
"17",NA,"Baldwin County, AL",1003,2015,2015,43,203709,"21.1"
"18",NA,"Baldwin County, AL",1003,2016,2016,32,208563,"15.3"
"19",NA,"Baldwin County, AL",1003,2017,2017,27,212628,"12.7"
"20",NA,"Baldwin County, AL",1003,2018,2018,28,218022,"12.8"
"21",NA,"Baldwin County, AL",1003,2019,2019,27,223234,"12.1"
"22",NA,"Baldwin County, AL",1003,2020,2020,63,229287,"27.5"
"23",NA,"Barbour County, AL",1005,2010,2010,2.3284486139145,27457,"Suppressed"
"24",NA,"Barbour County, AL",1005,2011,2011,2.11589384597046,27119,"Suppressed"
"25",NA,"Barbour County, AL",1005,2012,2012,2.14510072348896,27201,"Suppressed"
"26",NA,"Barbour County, AL",1005,2013,2013,1.82265559391621,27076,"Suppressed"
